pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,total_pitches_game,preferred_pitch,avg_preferred_ff_velocity,batter_name,bat_speed_pred,swing_length_pred,bat_speed_residual,swing_length_residual
CH,2024-09-10,92.2,-1.64,5.18,"Soriano, George",665833,666277,strikeout,swinging_strike,,,,,13.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,MIA,S,2.0,,0,2,2024,-1.43,-0.13,-0.37,1.5,,,,1,7,Bot,,,,,,,6.37691320164012,-134.0204137978773,-3.1768809331538765,-18.62457654379918,32.17660182601848,-33.217698113300834,3.82,1.79,,,,92.3,1795.0,6.7,745446,640902,682073,672640,669394,691594,665052,669065,660821,53.84,,0.0,0.0,1.0,0.0,0.0,,60,3,Changeup,6,3,6,3,3,6,6,3,Infield shade,Standard,251.0,-0.004,-0.102,79.2,8.0,,0.102,,3,3,0.941,0.941,25,25,25,26,1,3,7.0,1.0,4.0,1.0,2.84,1.43,-1.43,21.3,46,FF,94.1,Oneil Cruz,79.46889564458226,8.221248508355156,-0.26889564458225834,-0.2212485083551563
FF,2024-09-22,94.6,-2.19,4.68,"Díaz, Alexis",665833,664747,,foul,,,,,8.0,Oneil Cruz walks.,R,L,R,CIN,PIT,S,,,1,0,2024,-0.9,0.95,-0.27,2.37,,,,1,8,Top,,,,,,,7.239398359911436,-137.77239287859217,-2.6222162205414525,-12.936407755800644,26.93821953927903,-19.562648685228183,3.82,1.78,4.0,81.6,-30.0,97.8,2617.0,7.8,746657,663886,664034,663697,669289,682829,666181,670770,641584,52.73,,,,,,,,54,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,237.0,0.0,-0.032,85.0,7.9,,0.032,88.0,-2,2,0.141,0.859,27,25,28,26,1,3,5.0,1.0,6.0,2.0,1.56,0.9,-0.9,9.5,27,FF,93.9,Oneil Cruz,78.98348889240992,7.33907066875673,6.016511107590077,0.5609293312432699
SL,2024-09-22,89.0,-2.3,4.82,"Díaz, Alexis",665833,664747,,foul,,,,,8.0,Oneil Cruz walks.,R,L,R,CIN,PIT,S,,,2,1,2024,0.25,0.56,-0.08,2.38,,,,1,8,Top,,,,,,,5.0399714338113855,-129.71268773705725,-1.2207578372401744,1.922696849203789,24.03550766862188,-25.715748809262777,3.82,1.78,8.0,98.2,-16.0,91.8,2513.0,7.6,746657,663886,664034,663697,669289,682829,666181,670770,641584,52.85,,,,,,,,54,4,Slider,0,2,2,0,2,0,2,0,Infield shade,Standard,178.0,0.0,-0.049,86.1,8.0,,0.049,98.2,-2,2,0.141,0.859,27,25,28,26,1,3,5.0,1.0,6.0,2.0,2.28,-0.25,0.25,15.9,27,FF,93.9,Oneil Cruz,82.12604664162589,7.548563634913992,3.9739533583741036,0.4514363650860078
SL,2024-09-22,90.3,-2.06,4.91,"Díaz, Alexis",665833,664747,,foul,,,,,14.0,Oneil Cruz walks.,R,L,R,CIN,PIT,S,,,2,2,2024,0.01,0.43,0.48,1.46,,,,1,8,Top,,,,,,,6.502580066158399,-131.44441315335823,-3.6916950879937978,-1.1240389922445118,25.292718977943217,-26.620694782313283,3.82,1.78,,,,93.2,2577.0,7.8,746657,663886,664034,663697,669289,682829,666181,670770,641584,52.69,,,,,,,,54,5,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,197.0,0.0,0.0,82.9,8.1,,0.0,,-2,2,0.141,0.859,27,25,28,26,1,3,5.0,1.0,6.0,2.0,2.34,-0.01,0.01,15.3,27,FF,93.9,Oneil Cruz,79.23664806885509,7.916793349952503,3.6633519311449163,0.18320665004749692
ST,2024-09-24,79.1,4.04,4.22,"Milner, Hoby",665833,571948,field_out,hit_into_play,,,,,8.0,"Oneil Cruz grounds out, second baseman Brice Turang to first baseman Rhys Hoskins.",R,L,L,PIT,MIL,X,4.0,ground_ball,2,2,2024,-1.38,0.01,-0.07,1.81,,,,2,5,Bot,150.96,153.64,,,,,-6.421816090857964,-114.87647137747624,1.7343008556175037,-10.4969551990865,26.659389766299203,-32.77281024410407,3.8,1.79,12.0,111.8,-8.0,78.8,2007.0,6.8,745441,661388,656555,668930,687401,642715,694192,663368,686217,53.71,0.363,0.373,0.0,1.0,0.0,0.0,2.0,44,5,Sweeper,2,4,2,4,4,2,2,4,Strategic,Standard,310.0,-0.014,-0.084,83.9,7.0,0.372,0.084,111.8,-2,-2,0.225,0.225,33,25,33,26,1,2,3.0,2.0,3.0,1.0,3.72,-1.38,-1.38,-1.8,14,FF,88.8,Oneil Cruz,77.21310105840558,8.306813716786953,6.686898941594421,-1.3068137167869533
SI,2024-04-22,87.4,4.31,4.4,"Milner, Hoby",665833,571948,single,hit_into_play,,,,,6.0,Oneil Cruz singles on a line drive to left fielder Sal Frelick.   Connor Joe scores.    Jack Suwinski scores.,R,L,L,PIT,MIL,X,7.0,line_drive,1,0,2024,1.31,0.16,0.44,2.73,656582.0,669261.0,,2,6,Bot,89.03,104.2,,,,,-12.038911378492593,-126.75052021147296,1.861710857719385,16.57316986100176,26.331012137165217,-31.09043275497251,3.83,1.8,190.0,72.9,19.0,87.6,1882.0,6.6,745519,661388,641343,668930,687401,642715,686217,663368,694192,53.89,0.917,0.845,0.9,1.0,1.0,0.0,4.0,50,2,Sinker,2,1,2,1,1,4,4,1,Standard,Standard,101.0,0.156,1.399,66.8,6.4,0.996,-1.399,88.0,1,1,0.753,0.753,33,25,33,26,1,2,2.0,1.0,3.0,1.0,2.85,1.31,1.31,-3.0,11,FF,88.8,Oneil Cruz,79.4106637049604,7.39102582578801,-12.610663704960402,-0.99102582578801
ST,2024-04-25,77.3,4.15,4.4,"Milner, Hoby",665833,571948,,foul,,,,,13.0,Oneil Cruz called out on strikes.,R,L,L,PIT,MIL,S,,,1,2,2024,-1.37,0.04,-1.19,1.82,,,669707.0,2,5,Bot,,,,,,,-8.963836561796516,-112.20526276575984,1.4736227001724909,-9.890346558043127,21.037669964234578,-32.36032235994492,3.85,1.81,98.0,45.2,55.0,77.8,1896.0,6.9,745512,661388,641343,668930,686554,642715,686894,663368,686217,53.61,,,,,,,,49,4,Sweeper,5,4,5,4,4,5,5,4,,,296.0,0.0,0.0,45.3,7.8,,0.0,88.0,1,1,0.689,0.689,33,25,33,26,1,2,3.0,1.0,1.0,1.0,3.8,-1.37,-1.37,-2.3,6,FF,88.8,Oneil Cruz,72.63084552955016,8.562177081297616,-27.33084552955016,-0.7621770812976161
SI,2024-04-13,98.2,2.3,5.64,"Soto, Gregory",665833,642397,,foul,,,,,14.0,"Oneil Cruz grounds into a double play, second baseman Edmundo Sosa to shortstop Trea Turner to first baseman Bryce Harper.   Alika Williams out at 2nd.    Oneil Cruz out at 1st.",R,L,L,PHI,PIT,S,,,0,0,2024,1.24,0.44,1.44,2.49,,,675961.0,0,7,Top,,,,,,,-5.25241121624841,-143.03378194642943,-4.153450928122418,18.30325123476851,31.468810944617697,-25.408994849172277,3.64,1.78,,,,99.0,2215.0,6.6,745594,596117,547180,624641,664761,607208,665506,679032,592206,53.9,,,,,,,,55,1,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,131.0,0.0,-0.063,77.0,6.5,,0.063,,-1,1,0.263,0.737,29,25,29,26,1,3,3.0,1.0,4.0,1.0,1.91,1.24,1.24,30.5,19,FF,97.9,Oneil Cruz,73.7979450517912,6.740229344290491,3.202054948208797,-0.2402293442904906
SI,2024-04-13,98.9,2.4,5.84,"Soto, Gregory",665833,642397,grounded_into_double_play,hit_into_play,,,,,6.0,"Oneil Cruz grounds into a double play, second baseman Edmundo Sosa to shortstop Trea Turner to first baseman Bryce Harper.   Alika Williams out at 2nd.    Oneil Cruz out at 1st.",R,L,L,PHI,PIT,X,4.0,ground_ball,2,2,2024,1.24,0.53,0.57,3.04,,,675961.0,0,7,Top,150.38,152.71,,,,,-7.940638301690444,-143.67119763329327,-3.375747714219111,19.138749194973055,38.337415786935054,-24.22124550219614,3.64,1.78,13.0,104.6,-13.0,99.0,2255.0,6.8,745594,596117,547180,624641,664761,607208,665506,679032,592206,53.7,0.263,0.277,0.0,1.0,0.0,0.0,2.0,55,5,Sinker,2,3,3,2,3,2,3,2,Infield shade,Standard,133.0,0.079,-0.51,79.2,6.6,0.263,0.51,104.6,-1,1,0.263,0.737,29,25,29,26,1,3,3.0,1.0,4.0,1.0,1.84,1.24,1.24,36.9,19,FF,97.9,Oneil Cruz,77.22480876668556,6.49928168169805,1.9751912333144475,0.10071831830194977
FF,2024-06-06,95.4,-1.36,5.62,"Buehler, Walker",665833,621111,,foul,,,,,6.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,LAD,S,,,0,0,2024,-0.32,1.48,0.34,2.64,,,663647.0,2,1,Bot,,,,,,,5.194834449405547,-138.83844760330612,-5.5741350170654425,-5.2557393970974,30.00456357248201,-12.013606263705046,3.93,1.82,195.0,72.2,37.0,95.8,2541.0,6.4,745495,605131,518692,500743,571771,605141,678246,681624,606192,54.09,,,,,,,,13,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,204.0,0.0,-0.039,76.1,6.5,,0.039,88.0,-4,-4,0.164,0.164,29,25,30,26,1,0,6.0,2.0,6.0,1.0,1.02,0.32,-0.32,43.6,78,FF,94.9,Oneil Cruz,81.12562833443351,7.049826359722815,-5.02562833443352,-0.5498263597228146
KC,2024-06-06,80.2,-1.1,5.66,"Buehler, Walker",665833,621111,,foul,,,,,14.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,LAD,S,,,0,1,2024,1.06,-1.3,0.59,1.63,,,663647.0,2,1,Bot,,,,,,,1.7456875477114449,-116.73162688516902,0.2584711371012576,9.30073155821732,22.9710442872508,-44.262707322998416,3.93,1.82,4.0,82.0,-23.0,80.5,2693.0,6.6,745495,605131,518692,500743,571771,605141,678246,681624,606192,53.89,,,,,,,,13,2,Knuckle Curve,0,4,0,4,4,0,0,4,Strategic,Standard,33.0,0.0,-0.046,76.6,7.3,,0.046,88.0,-4,-4,0.164,0.164,29,25,30,26,1,0,6.0,2.0,6.0,1.0,4.85,-1.06,1.06,54.2,78,FF,94.9,Oneil Cruz,76.90573437608691,8.322570596012731,-0.30573437608691734,-1.0225705960127316
KC,2024-06-06,78.7,-1.02,5.75,"Buehler, Walker",665833,621111,strikeout,swinging_strike,,,,,9.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,LAD,S,2.0,,0,2,2024,0.88,-1.17,0.73,2.27,,,663647.0,2,1,Bot,,,,,,,2.183771542002929,-114.65113682041589,1.4697039656269173,7.291948994300688,21.836003019521826,-42.96894295233866,3.93,1.82,,,,79.1,2675.0,6.6,745495,605131,518692,500743,571771,605141,678246,681624,606192,53.94,,0.0,0.0,1.0,0.0,0.0,,13,3,Knuckle Curve,0,4,0,4,4,0,0,4,Strategic,Standard,30.0,-0.017,-0.143,78.9,7.1,,0.143,,-4,-4,0.164,0.164,29,25,30,26,1,0,6.0,2.0,6.0,1.0,4.85,-0.88,0.88,57.1,78,FF,94.9,Oneil Cruz,76.88903348884415,7.8465770107851505,2.010966511155857,-0.7465770107851508
FF,2024-06-06,96.9,-0.97,5.65,"Buehler, Walker",665833,621111,single,hit_into_play,,,,,14.0,Oneil Cruz singles on a line drive to left fielder Miguel Vargas.   Ke'Bryan Hayes to 3rd.,R,L,R,PIT,LAD,X,7.0,line_drive,3,1,2024,-0.23,1.43,0.99,2.6,,663647.0,,1,3,Bot,87.42,105.34,,,,,5.79025947486344,-141.02877039744732,-5.921568763414836,-4.3610524459673226,29.832712124499498,-11.965958308303232,3.93,1.82,216.0,79.9,19.0,97.4,2244.0,6.4,745495,605131,518692,500743,571771,605141,678246,681624,606192,54.07,0.966,0.906,0.9,1.0,1.0,0.0,4.0,29,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,205.0,0.047,0.558,67.2,6.2,1.086,-0.558,88.0,-3,-3,0.241,0.241,29,25,30,26,2,1,6.0,2.0,6.0,1.0,0.99,0.23,-0.23,51.0,78,FF,94.9,Oneil Cruz,73.3894613522917,6.670060295280592,-6.189461352291701,-0.4700602952805921
SI,2024-09-02,92.8,-1.32,6.29,"Taillon, Jameson",665833,592791,,foul,,,,,5.0,"Oneil Cruz grounds out, second baseman Nico Hoerner to first baseman Michael Busch.",R,L,R,CHC,PIT,S,,,2,0,2024,-0.87,1.42,-0.14,2.65,,,,2,1,Top,,,,,,,4.958956629583588,-134.89909361027134,-6.6359281326978765,-11.730229899701836,29.357944451599593,-13.575118719727191,3.95,1.82,194.0,70.2,39.0,93.2,2319.0,6.6,746833,665804,683737,663538,670623,621020,664023,691718,641355,53.89,,,,,,,,3,3,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,213.0,0.0,-0.023,83.0,7.2,,0.023,88.0,0,0,0.537,0.463,32,25,33,26,1,0,7.0,1.0,6.0,1.0,1.23,0.87,-0.87,41.6,89,FF,92.3,Oneil Cruz,80.247403094172,7.277343556020874,2.7525969058279998,-0.07734355602087373
FC,2024-09-02,87.5,-1.58,6.16,"Taillon, Jameson",665833,592791,field_out,hit_into_play,,,,,8.0,"Oneil Cruz grounds out, second baseman Nico Hoerner to first baseman Michael Busch.",R,L,R,CHC,PIT,X,4.0,ground_ball,2,2,2024,0.45,0.81,-0.16,1.89,,,,2,1,Top,153.32,150.09,,,,,2.4915393844423934,-127.44990371706128,-5.928631160314238,4.469670732234339,23.89992466457105,-22.34523740721097,3.95,1.82,4.0,109.6,-26.0,88.2,2604.0,6.5,746833,665804,683737,663538,670623,621020,664023,691718,641355,54.0,0.14,0.145,0.0,1.0,0.0,0.0,2.0,3,5,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,184.0,0.01,-0.084,78.4,7.8,0.142,0.084,109.6,0,0,0.537,0.463,32,25,33,26,1,0,7.0,1.0,6.0,1.0,2.14,-0.45,0.45,40.3,89,FF,92.3,Oneil Cruz,79.53563391255759,8.277986983020398,-1.13563391255758,-0.477986983020398
FC,2024-09-02,85.3,-1.45,6.24,"Taillon, Jameson",665833,592791,field_out,hit_into_play,,,,,4.0,Oneil Cruz flies out to left fielder Ian Happ.,R,L,R,CHC,PIT,X,7.0,fly_ball,1,0,2024,0.53,1.04,-0.55,2.56,,,,0,4,Top,75.2,117.0,,,,,1.0410717339245357,-124.2498693653319,-4.519865204628313,5.314382680230602,22.626980373037625,-20.64827939864148,3.95,1.82,240.0,92.1,51.0,85.6,2525.0,6.3,746833,665804,683737,663538,670623,621020,664023,691718,641355,54.25,0.003,0.003,0.0,1.0,0.0,0.0,3.0,23,2,Cutter,1,0,0,1,0,1,0,1,Infield shade,Standard,180.0,0.028,-0.262,82.4,7.7,0.005,0.262,92.1,1,-1,0.629,0.371,32,25,33,26,2,1,7.0,1.0,6.0,1.0,2.06,-0.53,0.53,42.9,89,FF,92.3,Oneil Cruz,79.28490592032064,7.77701010207807,3.1150940796793662,-0.07701010207807002
FC,2024-09-02,87.5,-1.42,6.23,"Taillon, Jameson",665833,592791,,foul,,,,,1.0,"Oneil Cruz grounds out, second baseman Nico Hoerner to first baseman Michael Busch.   Bryan Reynolds to 2nd.",R,L,R,CHC,PIT,S,,,0,0,2024,0.17,1.0,-0.4,3.31,,,668804.0,1,6,Top,,,,,,,2.1018603581509807,-127.48767255281037,-3.0367776549663343,1.511308873094258,24.444302944937963,-20.86805781929664,3.95,1.82,223.0,75.4,46.0,88.0,2461.0,6.4,746833,665804,683737,663538,670623,621020,664023,691718,641355,54.1,,,,,,,,41,1,Cutter,3,0,0,3,0,3,0,3,Infield shade,Standard,184.0,0.0,-0.047,77.6,6.5,,0.047,88.0,3,-3,0.868,0.132,32,25,33,26,3,2,7.0,1.0,6.0,1.0,1.96,-0.17,0.17,46.2,89,FF,92.3,Oneil Cruz,75.66435700058379,6.975240492596523,1.9356429994162028,-0.475240492596523
FF,2024-09-02,92.7,-1.09,6.18,"Taillon, Jameson",665833,592791,field_out,hit_into_play,,,,,3.0,"Oneil Cruz grounds out, second baseman Nico Hoerner to first baseman Michael Busch.   Bryan Reynolds to 2nd.",R,L,R,CHC,PIT,X,4.0,ground_ball,1,2,2024,-0.49,1.3,0.65,3.34,,,668804.0,1,6,Top,163.68,154.12,,,,,5.556060792402324,-134.96128487982773,-4.37194040102481,-7.122875995957905,27.22071184634831,-15.50542238175839,3.95,1.82,8.0,97.6,-23.0,93.7,2354.0,6.7,746833,665804,683737,663538,670623,621020,664023,691718,641355,53.83,0.114,0.128,0.0,1.0,0.0,0.0,2.0,41,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,212.0,0.022,-0.288,76.1,6.1,0.114,0.288,97.6,3,-3,0.868,0.132,32,25,33,26,3,2,7.0,1.0,6.0,1.0,1.33,0.49,-0.49,43.2,89,FF,92.3,Oneil Cruz,76.26928926859213,6.243884158657178,-0.1692892685921379,-0.14388415865717796
FF,2024-05-19,92.1,-1.63,6.16,"Taillon, Jameson",665833,592791,,foul,,,,,4.0,Oneil Cruz strikes out swinging.,R,L,R,CHC,PIT,S,,,0,1,2024,-0.73,1.38,-0.43,2.81,,,457705.0,1,1,Top,,,,,,,4.639550807133592,-134.04482761066146,-5.746854701841868,-9.729773547083324,26.461735983509236,-14.443216866113818,3.84,1.78,200.0,69.8,47.0,93.0,2280.0,6.6,746880,665804,683737,663611,666624,670156,664023,641355,643565,53.88,,,,,,,,3,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,206.0,0.0,-0.061,80.0,7.1,,0.061,88.0,0,0,0.497,0.503,32,25,33,26,1,0,5.0,2.0,6.0,2.0,1.28,0.73,-0.73,46.8,92,FF,92.3,Oneil Cruz,80.34237596407439,7.250497851961835,-0.3423759640743924,-0.15049785196183496
CU,2024-05-19,80.4,-1.68,6.2,"Taillon, Jameson",665833,592791,strikeout,swinging_strike_blocked,,,,,14.0,Oneil Cruz strikes out swinging.,R,L,R,CHC,PIT,S,2.0,,1,2,2024,1.11,-1.05,0.0,0.55,,,457705.0,1,1,Top,,,,,,,1.634747608305837,-117.09309057735489,-3.887015591188449,9.883916159190347,21.98702533430357,-41.343599752281435,3.84,1.78,,,,81.0,2677.0,6.6,746880,665804,683737,663611,666624,670156,664023,641355,643565,53.89,,0.0,0.0,1.0,0.0,0.0,,3,4,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,38.0,0.028,-0.214,68.9,8.9,,0.214,,0,0,0.497,0.503,32,25,33,26,1,0,5.0,2.0,6.0,2.0,4.57,-1.11,1.11,43.1,92,FF,92.3,Oneil Cruz,69.16253456218902,8.997880096926455,-0.2625345621890176,-0.09788009692645439
FF,2024-05-19,92.6,-1.52,6.13,"Taillon, Jameson",665833,592791,field_out,hit_into_play,,,,,4.0,Oneil Cruz flies out sharply to center fielder Cody Bellinger.   Jared Triolo to 3rd.,R,L,R,CHC,PIT,X,8.0,fly_ball,3,0,2024,-0.41,1.15,-0.63,2.65,,669707.0,457705.0,1,3,Top,153.47,39.66,,,,,3.188873066718096,-134.95138332394885,-5.710079198503593,-5.683169179913968,25.99073445785616,-17.126616122029603,3.84,1.78,398.0,113.4,32.0,93.8,2318.0,6.6,746880,665804,683737,663611,666624,670156,664023,641355,643565,53.86,0.963,1.985,0.0,1.0,0.0,0.0,6.0,20,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,206.0,0.036,-0.846,84.1,8.0,3.857,0.846,113.4,-1,1,0.347,0.653,32,25,33,26,2,1,5.0,2.0,6.0,2.0,1.48,0.41,-0.41,43.1,92,FF,92.3,Oneil Cruz,79.9393492146855,7.440228355558309,4.160650785314488,0.5597716444416907
CU,2024-05-19,79.6,-1.41,6.22,"Taillon, Jameson",665833,592791,,foul,,,,,13.0,Oneil Cruz strikes out swinging.,R,L,R,CHC,PIT,S,,,1,2,2024,0.65,-1.2,-0.23,0.71,457705.0,668804.0,,1,5,Top,,,,,,,1.3565699419026296,-115.89155151250368,-2.9999524771556008,5.5020711401503535,24.583774660084135,-42.46277745457924,3.84,1.78,1.0,52.2,-60.0,79.7,2642.0,6.7,746880,665804,683737,663611,666624,670156,664023,641355,643565,53.85,,,,,,,,37,4,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard,39.0,0.0,0.0,66.4,8.9,,0.0,88.0,0,0,0.383,0.617,32,25,33,26,3,2,5.0,2.0,6.0,2.0,4.83,-0.65,0.65,44.2,92,FF,92.3,Oneil Cruz,71.56158044807547,9.023963279760434,-5.161580448075469,-0.12396327976043331
CU,2024-05-19,80.9,-1.38,6.13,"Taillon, Jameson",665833,592791,strikeout,swinging_strike,,,,,14.0,Oneil Cruz strikes out swinging.,R,L,R,CHC,PIT,S,2.0,,2,2,2024,0.9,-1.04,0.47,1.21,457705.0,668804.0,,1,5,Top,,,,,,,2.4458771502596464,-117.77934835601144,-2.3406181367961687,7.841626764137687,23.036747914455415,-41.57167464969088,3.84,1.78,,,,81.6,2851.0,6.8,746880,665804,683737,663611,666624,670156,664023,641355,643565,53.68,,0.0,0.0,1.0,0.0,0.0,,37,6,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard,43.0,0.105,-0.547,78.6,9.2,,0.547,,0,0,0.383,0.617,32,25,33,26,3,2,5.0,2.0,6.0,2.0,4.53,-0.9,0.9,47.0,92,FF,92.3,Oneil Cruz,73.7772536483601,8.55588766636826,4.822746351639893,0.6441123336317389
CH,2024-08-26,86.6,-1.39,6.15,"Taillon, Jameson",665833,592791,,foul,,,,,7.0,Oneil Cruz called out on strikes.,R,L,R,PIT,CHC,S,,,1,0,2024,-1.21,0.99,-0.38,2.3,,,,2,1,Bot,,,,,,,4.891301168006677,-125.96582458469491,-5.038536490809861,-13.92324902968761,24.674406818936568,-20.84585634241636,3.84,1.79,3.0,53.4,-38.0,86.9,2008.0,6.4,745458,665804,683737,663538,670623,621020,664023,691718,641355,54.06,,,,,,,,7,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,227.0,0.0,-0.02,81.2,8.3,,0.02,88.0,0,0,0.51,0.51,32,25,33,26,1,0,5.0,1.0,7.0,1.0,2.05,1.21,-1.21,50.3,90,FF,92.3,Oneil Cruz,80.84392324325404,8.058412253463343,0.3560767567459635,0.24158774653665738
FF,2024-08-26,92.5,-1.15,6.14,"Taillon, Jameson",665833,592791,,foul,,,,,11.0,Oneil Cruz called out on strikes.,R,L,R,PIT,CHC,S,,,2,2,2024,-0.77,1.48,-0.23,4.31,,,,2,1,Bot,,,,,,,4.069937843305111,-134.78393367849924,-2.161800355248811,-10.234821771271072,28.239468366375217,-13.772830964871025,3.84,1.79,151.0,78.4,12.0,93.6,2345.0,6.8,745458,665804,683737,663538,670623,621020,664023,691718,641355,53.74,,,,,,,,7,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212.0,0.0,0.0,71.4,5.8,,0.0,88.0,0,0,0.51,0.51,32,25,33,26,1,0,5.0,1.0,7.0,1.0,1.16,0.77,-0.77,44.9,90,FF,92.3,Oneil Cruz,61.15307560849199,5.202877483694995,10.246924391508017,0.5971225163050047
FF,2024-08-26,92.0,-1.23,6.15,"Taillon, Jameson",665833,592791,,foul,,,,,11.0,Oneil Cruz called out on strikes.,R,L,R,PIT,CHC,S,,,0,0,2024,-0.87,1.25,-1.05,3.07,,,,2,3,Bot,,,,,,,2.3785355155038745,-133.81227770733662,-4.670750524635556,-10.962766898034438,31.206263364061833,-16.354114864647713,3.84,1.79,220.0,76.9,48.0,92.3,2196.0,6.7,745458,665804,683737,663538,670623,621020,664023,691718,641355,53.81,,,,,,,,28,1,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,215.0,0.0,-0.016,74.7,7.0,,0.016,88.0,-1,-1,0.384,0.384,32,25,33,26,2,1,5.0,1.0,7.0,1.0,1.46,0.87,-0.87,46.0,90,FF,92.3,Oneil Cruz,75.36334265661183,7.120653883588497,-0.6633426566118317,-0.12065388358849738
SI,2024-08-26,91.2,-1.14,6.09,"Taillon, Jameson",665833,592791,,foul,,,,,4.0,"Oneil Cruz grounds out, second baseman Nico Hoerner to first baseman Michael Busch.",R,L,R,PIT,CHC,S,,,0,0,2024,-1.19,1.08,-0.36,2.89,,,,1,6,Bot,,,,,,,4.534840032852039,-132.8034545472777,-4.532759668254799,-15.06196335757488,27.953670486156007,-18.59096542556011,3.84,1.79,169.0,76.7,68.0,91.7,2299.0,6.5,745458,665804,683737,663538,670623,621020,664023,691718,641355,53.99,,,,,,,,56,1,Sinker,2,11,2,11,11,2,2,11,Infield shade,Standard,212.0,0.0,-0.023,87.1,7.4,,0.023,88.0,-9,-9,0.003,0.003,32,25,33,26,3,2,5.0,1.0,7.0,1.0,1.65,1.19,-1.19,42.6,90,FF,92.3,Oneil Cruz,80.34996537106156,7.190880825940189,6.750034628938437,0.20911917405981129
CH,2024-08-26,84.7,-1.17,6.18,"Taillon, Jameson",665833,592791,,swinging_strike,,,,,7.0,"Oneil Cruz grounds out, second baseman Nico Hoerner to first baseman Michael Busch.",R,L,R,PIT,CHC,S,,,1,1,2024,-1.11,0.96,-0.67,2.2,,,,1,6,Bot,,,,,,,3.377017526193836,-123.3620721344692,-4.915812267025682,-11.970831381785011,23.753523563092127,-21.60057579607751,3.84,1.79,,,,85.0,1939.0,6.3,745458,665804,683737,663538,670623,621020,664023,691718,641355,54.17,,,,,,,,56,3,Changeup,2,11,2,11,11,2,2,11,Infield shade,Standard,226.0,0.0,-0.039,85.1,8.4,,0.039,,-9,-9,0.003,0.003,32,25,33,26,3,2,5.0,1.0,7.0,1.0,2.2,1.11,-1.11,46.6,90,FF,92.3,Oneil Cruz,79.35534553629195,8.190778109616707,5.744654463708045,0.20922189038329364
