pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,total_pitches_game,preferred_pitch,avg_preferred_ff_velocity,batter_name,bat_speed_pred,swing_length_pred,bat_speed_residual,swing_length_residual
ST,2024-09-26,80.6,-1.2,6.17,"Civale, Aaron",665833,650644,strikeout,swinging_strike,,,,,14.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,MIL,S,2.0,,0,2,2024,1.44,-0.2,0.18,0.98,,,,2,1,Bot,,,,,,,0.3256153703618168,-117.31135651265129,-4.339761537756578,13.0337195393258,26.014455833851343,-33.26070055222611,3.83,1.76,,,,79.2,2879.0,5.7,745443,606992,641343,668930,687401,642715,686217,663368,669003,54.82,,0.0,0.0,1.0,0.0,0.0,,6,3,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,67.0,-0.01,-0.061,81.0,9.2,,0.061,,0,0,0.51,0.51,29,25,29,26,1,0,5.0,1.0,5.0,1.0,3.75,-1.44,1.44,34.3,86,FF,92.0,Oneil Cruz,74.07080346709886,8.858763804360835,6.929196532901145,0.34123619563916385
CU,2024-09-26,76.7,-0.72,6.57,"Civale, Aaron",665833,650644,force_out,hit_into_play,,,,,5.0,"Oneil Cruz grounds into a force out, first baseman Jake Bauers to shortstop Willy Adames.   Isiah Kiner-Falefa to 3rd.    Bryan Reynolds out at 2nd.    Oneil Cruz to 1st.",R,L,R,PIT,MIL,X,3.0,ground_ball,1,0,2024,1.1,-1.27,0.15,2.51,,643396.0,668804.0,1,3,Bot,153.99,162.12,,,,,-0.13368759307923,-111.66632568630811,0.7066464949047027,9.149029903024571,21.313912683962513,-43.12673201586318,3.83,1.76,37.0,95.0,-2.0,75.5,3171.0,5.5,745443,606992,641343,668930,687401,642715,686217,663368,669003,54.97,0.323,0.337,0.0,1.0,0.0,0.0,2.0,23,2,Curveball,0,1,0,1,1,0,0,1,Standard,Strategic,40.0,-0.047,-0.653,81.3,7.7,0.347,0.653,95.0,-1,-1,0.477,0.477,29,25,29,26,2,1,5.0,1.0,5.0,1.0,5.16,-1.1,1.1,49.1,86,FF,92.0,Oneil Cruz,76.0011965029644,7.620791264954647,5.298803497035593,0.07920873504535297
SI,2024-09-26,93.3,-1.24,6.18,"Civale, Aaron",665833,650644,field_out,hit_into_play,,,,,4.0,"Oneil Cruz grounds out, shortstop Willy Adames to first baseman Rhys Hoskins.",R,L,R,PIT,MIL,X,6.0,ground_ball,2,2,2024,-1.31,0.86,-0.35,2.82,,,,0,6,Bot,106.72,147.58,,,,,5.077148988997593,-135.73939718112416,-4.737086602266001,-17.355794766648646,28.115145398317672,-20.756092169549387,3.83,1.76,12.0,119.5,-13.0,92.0,2142.0,5.4,745443,606992,656555,668930,687401,642715,686217,663368,669003,55.09,0.294,0.309,0.0,1.0,0.0,0.0,2.0,50,5,Sinker,0,5,0,5,5,0,0,5,Strategic,Standard,216.0,-0.012,-0.203,83.6,6.8,0.309,0.203,119.5,-5,-5,0.05,0.05,29,25,29,26,3,2,5.0,1.0,5.0,1.0,1.75,1.31,-1.31,35.7,86,FF,92.0,Oneil Cruz,80.48582350481922,7.249251931951814,3.1141764951807716,-0.4492519319518138
SL,2024-07-07,91.8,-2.32,5.01,"Díaz, Edwin",665833,621242,,foul,,,,,8.0,Oneil Cruz called out on strikes.,R,L,R,PIT,NYM,S,,,2,1,2024,0.23,0.87,0.15,2.23,,,,0,9,Bot,,,,,,,5.851994930327586,-133.67269461159253,-3.168589631355115,1.6478542800655642,25.647659946097047,-21.276150263855016,3.86,1.79,4.0,64.8,-32.0,93.8,2258.0,7.2,745477,620443,624413,578428,668901,596019,607043,664056,592325,53.29,,,,,,,,72,4,Slider,2,3,2,3,3,2,2,3,Strategic,Standard,229.0,0.0,-0.062,83.3,8.0,,0.062,88.0,-1,-1,0.194,0.194,30,25,30,26,1,1,1.0,1.0,2.0,1.0,1.81,-0.23,0.23,20.0,22,FF,97.5,Oneil Cruz,82.19076360281339,7.665225174410003,1.1092363971866064,0.3347748255899967
SL,2024-04-15,89.0,-1.99,4.93,"Díaz, Edwin",665833,621242,field_out,hit_into_play,,,,,14.0,Oneil Cruz flies out to right fielder Starling Marte.,R,L,R,NYM,PIT,X,9.0,fly_ball,2,2,2024,0.01,0.43,0.31,1.48,,669707.0,,2,9,Top,158.99,66.67,,,,,5.798047499463797,-129.4736852738998,-3.337585913257995,-1.2449445099546097,29.940950282539156,-26.806274012117765,3.66,1.79,336.0,91.9,35.0,91.1,2402.0,7.8,745840,682626,624413,643446,683146,596019,607043,664056,516782,52.71,0.034,0.048,0.0,1.0,0.0,0.0,3.0,76,5,Slider,6,3,3,6,3,6,3,6,Infield shade,Standard,152.0,0.012,-0.276,69.8,8.1,0.091,0.276,91.9,3,-3,0.988,0.012,30,25,30,26,1,4,1.0,1.0,5.0,1.0,2.47,-0.01,0.01,23.2,18,FF,97.5,Oneil Cruz,79.62078989310518,8.06070735045426,-9.820789893105186,0.03929264954573952
FC,2024-05-06,81.6,1.26,6.41,"Anderson, Tyler",665833,542881,,swinging_strike,,,,,9.0,"Oneil Cruz grounds out, first baseman Nolan Schanuel to pitcher Tyler Anderson.   Edward Olivares to 3rd.",R,L,L,PIT,LAA,S,,,0,0,2024,-0.11,0.45,0.33,2.18,,658668.0,,1,2,Bot,,,,,,,-1.8749644726142731,-118.88573063468462,-3.802440421190258,-0.6355102124337488,23.34615008575129,-27.411537416093147,3.86,1.8,,,,81.5,2225.0,6.2,745509,681351,694384,592273,657061,687263,621493,666160,666176,54.31,,,,,,,,13,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,183.0,0.0,-0.045,81.5,9.3,,0.045,,0,0,0.571,0.571,34,25,35,26,1,0,6.0,1.0,5.0,2.0,2.97,-0.11,-0.11,61.4,93,FF,89.4,Oneil Cruz,78.43471397224255,8.094731682535478,3.065286027757452,1.2052683174645225
FC,2024-05-06,81.8,1.16,6.52,"Anderson, Tyler",665833,542881,,swinging_strike,,,,,13.0,"Oneil Cruz grounds out, first baseman Nolan Schanuel to pitcher Tyler Anderson.   Edward Olivares to 3rd.",R,L,L,PIT,LAA,S,,,0,1,2024,-0.39,0.34,-1.58,1.49,,658668.0,,1,2,Bot,,,,,,,-5.429126085857913,-119.01606296504538,-5.447963433706703,-2.6635448352358897,22.304551855708013,-28.14105132853312,3.86,1.8,,,,81.8,2340.0,6.2,745509,681351,694384,592273,657061,687263,621493,666160,666176,54.28,,,,,,,,13,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,187.0,0.0,-0.08,77.0,8.9,,0.08,,0,0,0.571,0.571,34,25,35,26,1,0,6.0,1.0,5.0,2.0,3.06,-0.39,-0.39,56.7,93,FF,89.4,Oneil Cruz,69.30255052136924,9.017722118794772,7.697449478630759,-0.1177221187947719
FC,2024-05-06,80.7,1.43,6.5,"Anderson, Tyler",665833,542881,field_out,hit_into_play,,,,,14.0,"Oneil Cruz grounds out, first baseman Nolan Schanuel to pitcher Tyler Anderson.   Edward Olivares to 3rd.",R,L,L,PIT,LAA,X,3.0,ground_ball,0,2,2024,-0.24,0.37,0.07,0.71,,658668.0,,1,2,Bot,158.72,163.59,,,,,-2.5404585873074463,-117.39098879715355,-6.938084362935966,-1.7933613582224075,21.043496341491505,-27.66147760378825,3.86,1.8,48.0,77.1,3.0,80.4,2372.0,6.0,745509,681351,694384,592273,657061,687263,621493,666160,666176,54.48,0.191,0.2,0.0,1.0,0.0,0.0,2.0,13,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,200.0,-0.032,-0.192,52.1,7.9,0.228,0.192,88.0,0,0,0.571,0.571,34,25,35,26,1,0,6.0,1.0,5.0,2.0,3.11,-0.24,-0.24,55.5,93,FF,89.4,Oneil Cruz,71.9944129229758,9.040833444087548,-19.894412922975796,-1.1408334440875478
SI,2024-05-06,86.4,2.39,5.96,"Anderson, Tyler",665833,542881,,foul_bunt,,,,,12.0,Oneil Cruz singles on a line drive to right fielder Jo Adell.,R,L,L,PIT,LAA,S,,,0,0,2024,1.31,1.08,0.31,4.18,,,,2,6,Bot,,,,,,,-7.568606043534192,-125.58558174856157,-0.2146490856207321,15.450301827226204,26.07093416147223,-20.915742343725736,3.86,1.8,10.0,,,85.7,2168.0,6.0,745509,681351,694384,592273,657061,687263,621493,666160,666176,54.54,,,,,,,,46,1,Sinker,4,1,4,1,1,4,4,1,Infield shade,Standard,135.0,0.0,-0.016,4.1,1.3,,0.016,88.0,3,3,0.905,0.905,34,25,35,26,3,2,6.0,1.0,5.0,2.0,1.98,1.31,1.31,35.1,93,FF,89.4,Oneil Cruz,62.184545996635585,5.5533936755040685,-58.08454599663558,-4.253393675504069
FC,2024-05-06,82.4,1.89,6.36,"Anderson, Tyler",665833,542881,single,hit_into_play,,,,,9.0,Oneil Cruz singles on a line drive to right fielder Jo Adell.,R,L,L,PIT,LAA,X,9.0,line_drive,0,1,2024,-0.42,0.63,0.46,2.36,,,,2,6,Bot,184.76,118.7,,,,,-2.434416396956705,-119.99788363768543,-3.791466580144548,-3.635540937082413,22.87437869305994,-25.603325473372465,3.86,1.8,144.0,85.4,11.0,82.2,2239.0,6.1,745509,681351,694384,592273,657061,687263,621493,666160,666176,54.45,0.606,0.558,0.9,1.0,1.0,0.0,4.0,46,2,Cutter,4,1,4,1,1,4,4,1,Standard,Standard,178.0,0.004,0.144,81.9,6.9,0.677,-0.144,88.0,3,3,0.905,0.905,34,25,35,26,3,2,6.0,1.0,5.0,2.0,2.72,-0.42,-0.42,51.8,93,FF,89.4,Oneil Cruz,78.55940282451127,7.831112236265234,3.340597175488739,-0.9311122362652338
